Weight_Value,Weight_Unit,Quantity,product_name,product_price,price_per_unit
200.0,g,,requeijão de ovelha auchan à mesa em portugal cultivamos o bom seia 200 g,1.59,0.00795
800.0,g,,caldeirada peixe peniche congelada 800 g,6.99,0.0087375
800.0,g,,sardinha nacional peniche congelada 800 g,5.99,0.0074875
1000.0,ml,,bebida auchan aveia s/açúcares 1l,0.95,0.00095
1000.0,ml,,bebida oatly aveia barista 1l,2.15,0.00215
750.0,ml,,azeite moura dop virgem extra auchan amp cob 750 ml,8.99,0.011986666666666666
,,,requeijão santiago ovelha azeitão un,2.39,
270.0,g,,mel serra de portel 270g,2.95,0.010925925925925926
200.0,g,,requeijao seia primebrands:200 g,2.49,0.012450000000000001
750.0,ml,,azeite moura dop virgem extra 750ml,9.95,0.013266666666666666
,,4.0,pastéis chaves igp auchan à mesa em portugal 4un 340g,3.45,
300.0,g,,mel serramel flores laranjeira algarve 300g,3.57,0.011899999999999999
500.0,ml,,azeite norte alentejano dop virgem extra esporão 500ml,16.99,0.033979999999999996
300.0,g,,mel queiro serramel rosmaninho serra da malcata 300g,3.49,0.011633333333333334
500.0,g,,mel serramel eucalipto beira litoral 500g,6.75,0.0135
200.0,g,,requeijao serra da estrela dop auchan à mesa em portugal cultivamos o bom 200g,2.19,0.01095
1000.0,ml,,leite auchan uht meio gordo slim 1l,0.82,0.00082
1000.0,g,,açúcar polegar granulado 1 kg,1.09,0.00109
1000.0,ml,,leite mimosa uht meio gordo 1l,0.86,0.00086
1000.0,g,,arroz basmati auchan extra longo 1kg,2.0,0.002
200.0,ml,,nata auchan uht culinária 200ml,0.72,0.0036
,,,ovos auchan galinhas solo classe m duas dúzias,4.3,
170.0,g,,iogurte liquido auchan pêssego manga 4x170g,1.35,0.007941176470588236
250.0,g,,manteiga milhafre com sal 250g,2.29,0.00916
,,,atum posta auchan ao natural 120(84)g,0.88,
170.0,g,,iogurte auchan líquido banana e morango 4x170g,1.35,0.007941176470588236
200.0,g,,batatas fritas auchan palha 200 g,1.09,0.00545
200.0,g,,batatas auchan fritas onduladas girassol 200g,1.15,0.00575
,,,ovos auchan galinhas solo classe l duas dúzias,4.69,
1000.0,g,,arroz agulha auchan extra longo branqueado 1kg,1.25,0.00125
170.0,g,,iogurte liquido auchan frutos vermelhos 4x170g,1.35,0.007941176470588236
500.0,g,,polpa de tomate auchan 500g,1.09,0.00218
170.0,g,,iogurte liquido auchan stracciatella 4x170g,1.35,0.007941176470588236
,,,cogumelos laminados auchan essencial 355(185)g,1.09,
390.0,g,,tomate auchan pelado em pedaços sem sal 390g,0.79,0.0020256410256410257
,,,ovos auchan galinhas ar livre classe m- l meia dúzia,1.49,
170.0,g,,iogurte auchan líquido pina colada 4x170g,1.35,0.007941176470588236
200.0,g,,queijo flamengo terra nostra fatias 2x200g,4.89,0.02445
250.0,g,,manteiga auchan à mesa em portugal pasteurizada com sal açores 250g,1.98,0.00792
151.0,ml,,iogurte liquido mimosa banana 4x151ml,1.44,0.009536423841059603
,,,atum em óleo polegar 110(72)g,0.78,
,,8.0,salsichas auchan tipo frankfurt 8 uni 350(200)g,0.95,
,,,milho doce auchan em grão 3x150(140)g,1.99,
500.0,g,,massa auchan espirais com vegetais 500g,0.89,0.0017800000000000001
,,,atum posta auchan em azeite 120(78)g,1.12,
1000.0,ml,,leite auchan uht meio gordo sem lactose 1l,1.05,0.0010500000000000002
170.0,g,,iogurte auchan líquido kiwi 4x170g,1.35,0.007941176470588236
600.0,g,,pão de forma polegar com côdea 600 g,0.98,0.0016333333333333332
170.0,g,,iogurte auchan líquido morango 4x170g,1.35,0.007941176470588236
,,,grão de bico polegar frasco 540 (400) g,0.85,
128.0,g,,bolacha aros auchan chocolate branco 128g,0.95,0.007421875
250.0,g,,flocos cereais nestum proteína cereais 250 g,3.25,0.013
,,,cogumelos laminados auchan pack 3x185(105)g,2.39,
1000.0,g,,sal marinho polegar 1 kg,0.25,0.00025
,,,feijão branco auchan cozido 420(260)g,0.75,
200.0,ml,,nata auchan uht para bater 200ml,0.75,0.00375
150.0,g,,bolacha auchan cookies 150g,0.9,0.006
,,,feijão preto auchan cozido 420(260)g,0.75,
,,,atum posta auchan em óleo 120(78)g,0.93,
200.0,g,,bolacha auchan maria 4x200g,1.69,0.00845
,,8.0,salsichas polegar frankfurt lata 8un 350 (200) g,0.89,
,,8.0,salsichas aves auchan lata 8 un 350(200)g,1.09,
,,,ovos matinados do campo ar livre classe m e l uma dúzia,3.66,
400.0,g,,tomate auchan triturado sem sal 400 g,0.69,0.001725
