product_id,product_name,product_price,product_category,product_category2,product_category3,product_image,product_urls,product_ratings,product_labels,product_promotions,source,timestamp
68695,curgete kg produto local,1.79,Produtos Frescos,Legumes,"Curgete, Nabiças, Nabo e Grelos", ,"{""productUrl"":""/pt/produtos-frescos/legumes/curgete-nabicas-nabo-e-grelos/curgete-kg-produto-local/68695.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=68695"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/produtos-frescos/legumes/curgete-nabicas-nabo-e-grelos/curgete-kg-produto-local/68695.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fprodutos-frescos%2Flegumes%2Fcurgete-nabicas-nabo-e-grelos%2Fcurgete-kg-produto-local%2F68695.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=68695""}",68695,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}, {'alt': 'Produto Local', 'title': 'Produto Local'}]",,auchan,20241115
141771,cebola kg produto local,1.99,Produtos Frescos,Legumes,"Batatas, Alho e Cebola", ,"{""productUrl"":""/pt/produtos-frescos/legumes/batatas-alho-e-cebola/cebola-kg-produto-local/141771.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=141771"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/produtos-frescos/legumes/batatas-alho-e-cebola/cebola-kg-produto-local/141771.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fprodutos-frescos%2Flegumes%2Fbatatas-alho-e-cebola%2Fcebola-kg-produto-local%2F141771.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=141771""}",141771,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}, {'alt': 'Produto Local', 'title': 'Produto Local'}]",,auchan,20241115
20578,limão kg,1.99,Produtos Frescos,Fruta,"Laranjas, Clementinas e Limões", ,"{""productUrl"":""/pt/produtos-frescos/fruta/laranjas-clementinas-e-limoes/limao-kg/20578.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=20578"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/produtos-frescos/fruta/laranjas-clementinas-e-limoes/limao-kg/20578.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fprodutos-frescos%2Ffruta%2Flaranjas-clementinas-e-limoes%2Flimao-kg%2F20578.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=20578""}",20578,[],,auchan,20241115
22036,alface frisada kg produto local,2.49,Produtos Frescos,Legumes,Alface e Agrião, ,"{""productUrl"":""/pt/produtos-frescos/legumes/alface-e-agriao/alface-frisada-kg-produto-local/22036.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=22036"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/produtos-frescos/legumes/alface-e-agriao/alface-frisada-kg-produto-local/22036.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fprodutos-frescos%2Flegumes%2Falface-e-agriao%2Falface-frisada-kg-produto-local%2F22036.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=22036""}",22036,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}, {'alt': 'Produto Local', 'title': 'Produto Local'}]",,auchan,20241115
516472,pera rocha do oeste dop auchan cultivamos o bom kg,2.69,Produtos Frescos,Fruta,"Maçãs, Peras e Uvas", ,"{""productUrl"":""/pt/produtos-frescos/fruta/macas-peras-e-uvas/pera-rocha-do-oeste-dop-auchan-cultivamos-o-bom-kg/516472.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=516472"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/produtos-frescos/fruta/macas-peras-e-uvas/pera-rocha-do-oeste-dop-auchan-cultivamos-o-bom-kg/516472.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fprodutos-frescos%2Ffruta%2Fmacas-peras-e-uvas%2Fpera-rocha-do-oeste-dop-auchan-cultivamos-o-bom-kg%2F516472.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=516472""}",516472,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}, {'alt': 'Cultivamos o bom', 'title': 'Cultivamos o bom'}]",,auchan,20241115
28529,nabo sem rama kg produto local,2.29,Produtos Locais,Produtos Locais Frescos,Frutas e Legumes Produtos Locais, ,"{""productUrl"":""/pt/produtos-locais/produtos-locais-frescos/frutas-e-legumes-produtos-locais/nabo-sem-rama-kg-produto-local/28529.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=28529"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/produtos-locais/produtos-locais-frescos/frutas-e-legumes-produtos-locais/nabo-sem-rama-kg-produto-local/28529.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fprodutos-locais%2Fprodutos-locais-frescos%2Ffrutas-e-legumes-produtos-locais%2Fnabo-sem-rama-kg-produto-local%2F28529.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=28529""}",28529,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}, {'alt': 'Produto Local', 'title': 'Produto Local'}]",,auchan,20241115
158944,alho frances kg produto local,2.79,Produtos Frescos,Legumes,"Abóbora, Cenoura e Alho Francês", ,"{""productUrl"":""/pt/produtos-frescos/legumes/abobora-cenoura-e-alho-frances/alho-frances-kg-produto-local/158944.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=158944"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/produtos-frescos/legumes/abobora-cenoura-e-alho-frances/alho-frances-kg-produto-local/158944.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fprodutos-frescos%2Flegumes%2Fabobora-cenoura-e-alho-frances%2Falho-frances-kg-produto-local%2F158944.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=158944""}",158944,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}, {'alt': 'Produto Local', 'title': 'Produto Local'}]",,auchan,20241115
42143,couve coração kg produto local,0.99,Produtos Frescos,Legumes,"Couves, Brócolos e Espinafres", ,"{""productUrl"":""/pt/produtos-frescos/legumes/couves-brocolos-e-espinafres/couve-coracao-kg-produto-local/42143.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=42143"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/produtos-frescos/legumes/couves-brocolos-e-espinafres/couve-coracao-kg-produto-local/42143.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fprodutos-frescos%2Flegumes%2Fcouves-brocolos-e-espinafres%2Fcouve-coracao-kg-produto-local%2F42143.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=42143""}",42143,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}, {'alt': 'Produto Local', 'title': 'Produto Local'}]",,auchan,20241115
997628,posta de salmão,12.99,Produtos Frescos,Peixaria,Peixe Fresco, ,"{""productUrl"":""/pt/produtos-frescos/peixaria/peixe-fresco/posta-de-salmao/997628.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=997628"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/produtos-frescos/peixaria/peixe-fresco/posta-de-salmao/997628.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fprodutos-frescos%2Fpeixaria%2Fpeixe-fresco%2Fposta-de-salmao%2F997628.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=997628""}",997628,[],,auchan,20241115
294878,tomate kg,1.99,Produtos Frescos,Legumes,"Tomate, Pepino e Pimentos", ,"{""productUrl"":""/pt/produtos-frescos/legumes/tomate-pepino-e-pimentos/tomate-kg/294878.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=294878"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/produtos-frescos/legumes/tomate-pepino-e-pimentos/tomate-kg/294878.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fprodutos-frescos%2Flegumes%2Ftomate-pepino-e-pimentos%2Ftomate-kg%2F294878.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=294878""}",294878,[],,auchan,20241115
