product_id,product_name,product_price,product_category,product_category2,product_category3,product_image,product_urls,product_ratings,product_labels,product_promotions,source,timestamp
974659,rolo cozinha auchan resistente e absorvente compacto folha dupla 4 rolos = 8 rolos,1.95,Casa e Jardim,Cozinha,Utensílios de Cozinha, ,"{""productUrl"":""/pt/casa-e-jardim/cozinha/utensilios-de-cozinha/rolos-de-cozinha-e-guardanapos/rolo-cozinha-auchan-resistente-e-absorvente-compacto-folha-dupla-4-rolos-%3D-8-rolos/974659.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=974659"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/casa-e-jardim/cozinha/utensilios-de-cozinha/rolos-de-cozinha-e-guardanapos/rolo-cozinha-auchan-resistente-e-absorvente-compacto-folha-dupla-4-rolos-%3D-8-rolos/974659.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fcasa-e-jardim%2Fcozinha%2Futensilios-de-cozinha%2Frolos-de-cozinha-e-guardanapos%2Frolo-cozinha-auchan-resistente-e-absorvente-compacto-folha-dupla-4-rolos-%253D-8-rolos%2F974659.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=974659""}",974659,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}]",,auchan,20241121
3306297,guardanapos actuel folha dupla 33x33cm 100 undidades,1.15,Casa e Jardim,Artigos de Festa e Descartáveis,Guardanapos e Toalhas de Mesa Descartáveis, ,"{""productUrl"":""/pt/casa-e-jardim/artigos-de-festa-e-descartaveis/guardanapos-e-toalhas-de-mesa-descartaveis/guardanapos-actuel-folha-dupla-33x33cm-100-undidades/3306297.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3306297"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/casa-e-jardim/artigos-de-festa-e-descartaveis/guardanapos-e-toalhas-de-mesa-descartaveis/guardanapos-actuel-folha-dupla-33x33cm-100-undidades/3306297.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fcasa-e-jardim%2Fartigos-de-festa-e-descartaveis%2Fguardanapos-e-toalhas-de-mesa-descartaveis%2Fguardanapos-actuel-folha-dupla-33x33cm-100-undidades%2F3306297.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3306297""}",3306297,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}]",,auchan,20241121
3385756,guardanapos auchan essencial folha simples 30x30cm 100un,0.49,Casa e Jardim,Artigos de Festa e Descartáveis,Guardanapos e Toalhas de Mesa Descartáveis, ,"{""productUrl"":""/pt/casa-e-jardim/artigos-de-festa-e-descartaveis/guardanapos-e-toalhas-de-mesa-descartaveis/guardanapos-auchan-essencial-folha-simples-30x30cm-100un/3385756.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3385756"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/casa-e-jardim/artigos-de-festa-e-descartaveis/guardanapos-e-toalhas-de-mesa-descartaveis/guardanapos-auchan-essencial-folha-simples-30x30cm-100un/3385756.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fcasa-e-jardim%2Fartigos-de-festa-e-descartaveis%2Fguardanapos-e-toalhas-de-mesa-descartaveis%2Fguardanapos-auchan-essencial-folha-simples-30x30cm-100un%2F3385756.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3385756""}",3385756,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}]",,auchan,20241121
3462931,rolo cozinha polegar folha dupla 4 rolos,1.85,Limpeza e Cuidados do Lar,Limpeza Cozinha,Rolos de Cozinha e Guardanapos, ,"{""productUrl"":""/pt/limpeza-e-cuidados-do-lar/limpeza-cozinha/rolos-de-cozinha-e-guardanapos/rolo-cozinha-polegar-folha-dupla-4-rolos/3462931.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3462931"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/limpeza-e-cuidados-do-lar/limpeza-cozinha/rolos-de-cozinha-e-guardanapos/rolo-cozinha-polegar-folha-dupla-4-rolos/3462931.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Flimpeza-e-cuidados-do-lar%2Flimpeza-cozinha%2Frolos-de-cozinha-e-guardanapos%2Frolo-cozinha-polegar-folha-dupla-4-rolos%2F3462931.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3462931""}",3462931,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}]",,auchan,20241121
3506452,bloco sanitário bref sonasol poderactivo havaii 2x50g,3.99,Limpeza e Cuidados do Lar,Limpeza Casa de Banho,Blocos Sanitários, ,"{""productUrl"":""/pt/limpeza-e-cuidados-do-lar/limpeza-casa-de-banho/blocos-sanitarios/bloco-sanitario-bref-sonasol-poderactivo-havaii-2x50g/3506452.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3506452"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/limpeza-e-cuidados-do-lar/limpeza-casa-de-banho/blocos-sanitarios/bloco-sanitario-bref-sonasol-poderactivo-havaii-2x50g/3506452.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Flimpeza-e-cuidados-do-lar%2Flimpeza-casa-de-banho%2Fblocos-sanitarios%2Fbloco-sanitario-bref-sonasol-poderactivo-havaii-2x50g%2F3506452.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3506452""}",3506452,[],,auchan,20241121
2478714,saco lixo auchan lavanda fecho fácil 50 litros 15 unidades,1.89,Limpeza e Cuidados do Lar,Sacos e Baldes de Lixo,Sacos do Lixo, ,"{""productUrl"":""/pt/limpeza-e-cuidados-do-lar/sacos-e-baldes-de-lixo/sacos-do-lixo/saco-lixo-auchan-lavanda-fecho-facil-50-litros-15-unidades/2478714.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2478714"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/limpeza-e-cuidados-do-lar/sacos-e-baldes-de-lixo/sacos-do-lixo/saco-lixo-auchan-lavanda-fecho-facil-50-litros-15-unidades/2478714.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Flimpeza-e-cuidados-do-lar%2Fsacos-e-baldes-de-lixo%2Fsacos-do-lixo%2Fsaco-lixo-auchan-lavanda-fecho-facil-50-litros-15-unidades%2F2478714.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2478714""}",2478714,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}]",,auchan,20241121
3772259,pasta de limpeza pink stuff 850 gr,3.5,Limpeza e Cuidados do Lar,Limpeza Casa,Multisuperfícies, ,"{""productUrl"":""/pt/limpeza-e-cuidados-do-lar/limpeza-casa/multisuperficies/pasta-de-limpeza-pink-stuff-850-gr/3772259.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3772259"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/limpeza-e-cuidados-do-lar/limpeza-casa/multisuperficies/pasta-de-limpeza-pink-stuff-850-gr/3772259.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Flimpeza-e-cuidados-do-lar%2Flimpeza-casa%2Fmultisuperficies%2Fpasta-de-limpeza-pink-stuff-850-gr%2F3772259.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3772259""}",3772259,[],,auchan,20241121
3172024,saco de lixo auchan lavanda fecho fácil 30l 100% reciclados 15un,0.89,Limpeza e Cuidados do Lar,Sacos e Baldes de Lixo,Sacos do Lixo, ,"{""productUrl"":""/pt/limpeza-e-cuidados-do-lar/sacos-e-baldes-de-lixo/sacos-do-lixo/saco-de-lixo-auchan-lavanda-fecho-facil-30l-100-reciclados-15un/3172024.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3172024"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/limpeza-e-cuidados-do-lar/sacos-e-baldes-de-lixo/sacos-do-lixo/saco-de-lixo-auchan-lavanda-fecho-facil-30l-100-reciclados-15un/3172024.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Flimpeza-e-cuidados-do-lar%2Fsacos-e-baldes-de-lixo%2Fsacos-do-lixo%2Fsaco-de-lixo-auchan-lavanda-fecho-facil-30l-100-reciclados-15un%2F3172024.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3172024""}",3172024,[],,auchan,20241121
3385758,guardanapos auchan essencial folha simples 30x30cm 200 unidades,0.97,Casa e Jardim,Artigos de Festa e Descartáveis,Guardanapos e Toalhas de Mesa Descartáveis, ,"{""productUrl"":""/pt/casa-e-jardim/artigos-de-festa-e-descartaveis/guardanapos-e-toalhas-de-mesa-descartaveis/guardanapos-auchan-essencial-folha-simples-30x30cm-200-unidades/3385758.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3385758"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/casa-e-jardim/artigos-de-festa-e-descartaveis/guardanapos-e-toalhas-de-mesa-descartaveis/guardanapos-auchan-essencial-folha-simples-30x30cm-200-unidades/3385758.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fcasa-e-jardim%2Fartigos-de-festa-e-descartaveis%2Fguardanapos-e-toalhas-de-mesa-descartaveis%2Fguardanapos-auchan-essencial-folha-simples-30x30cm-200-unidades%2F3385758.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3385758""}",3385758,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}]",,auchan,20241121
1021701,rolo cozinha auchan resistente e absorvente 2 folhas super compacto 1 rolo = 4 rolos,0.95,Casa e Jardim,Cozinha,Utensílios de Cozinha, ,"{""productUrl"":""/pt/casa-e-jardim/cozinha/utensilios-de-cozinha/rolos-de-cozinha-e-guardanapos/rolo-cozinha-auchan-resistente-e-absorvente-2-folhas-super-compacto-1-rolo-%3D-4-rolos/1021701.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=1021701"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/casa-e-jardim/cozinha/utensilios-de-cozinha/rolos-de-cozinha-e-guardanapos/rolo-cozinha-auchan-resistente-e-absorvente-2-folhas-super-compacto-1-rolo-%3D-4-rolos/1021701.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fcasa-e-jardim%2Fcozinha%2Futensilios-de-cozinha%2Frolos-de-cozinha-e-guardanapos%2Frolo-cozinha-auchan-resistente-e-absorvente-2-folhas-super-compacto-1-rolo-%253D-4-rolos%2F1021701.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=1021701""}",1021701,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}]",,auchan,20241121
