Product Name,Product ID,Price,Price per unit,Brand,Category,Image URL,Minimum Quantity,Product Link,cgid,tracking_date,source
Sérum de Olhos Revitalift Filler,7514204,25.99,"€1,299,50/lt",LOréal Paris,Beleza e Higiene/Rosto/Antirrugas e Refirmantes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwc1c93d70/images/col/751/7514204-frente.jpg?sw=280&sh=280,emb. 20 ml,https://www.continente.pt/produto/serum-de-olhos-revitalift-filler-loreal-paris-7514204.html,higiene-beleza,2024-11-22,Continente
Condicionador Nutri-Plex Caracóis Perfeitos,7528081,5.84,"€11,68/lt",Pantene,Beleza e Higiene/Cabelo/Condicionadores,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw8c80fca2/images/col/752/7528081-frente.jpg?sw=280&sh=280,emb. 500 ml,https://www.continente.pt/produto/condicionador-nutri-plex-caracois-perfeitos-pantene-7528081.html,higiene-beleza,2024-11-22,Continente
Sérum Facial Cellular Luminous 630º Anti-idade e Antimanchas,7803502,19.49,"€649,67/lt",Nivea,Beleza e Higiene/Rosto/Antirrugas e Refirmantes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw8eb81567/images/col/780/7803502-frente.jpg?sw=280&sh=280,emb. 30 ml,https://www.continente.pt/produto/serum-facial-cellular-luminous-630-anti-idade-e-antimanchas-nivea-7803502.html,higiene-beleza,2024-11-22,Continente
Sabonete Líquido Eco Recarga Hidratante,7748278,7.93,"€5,29/lt",Dove,Beleza e Higiene/Corpo/Sabonetes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1693cbb5/images/col/774/7748278-hero.png?sw=280&sh=280,emb. 3 x 500 ml,https://www.continente.pt/produto/sabonete-liquido-eco-recarga-hidratante-dove-7748278.html,higiene-beleza,2024-11-22,Continente
Champô Cuidado Clássico,7536694,16.48,"€6,10/lt",Tresemmé,Beleza e Higiene/Cabelo/Champôs,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw4f103560/images/col/753/7536694-hero.png?sw=280&sh=280,emb. 3 x 900 ml,https://www.continente.pt/produto/champo-cuidado-classico-tresemme-7536694.html,higiene-beleza,2024-11-22,Continente
Máscara de Pestanas Lash Paradise Preto,6316343,7.79,"€7,79/un",LOréal Paris,Beleza e Higiene/Maquilhagem/Olhos,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwf378945e/images/col/631/6316343-frente-1.jpg?sw=280&sh=280,emb. 1 un,https://www.continente.pt/produto/mascara-de-pestanas-lash-paradise-preto-loreal-paris-6316343.html,higiene-beleza,2024-11-22,Continente
Conjunto Ambre Solaire Rotina Bronze + Oferta Saco de Praia,8056647,19.79,"€19,79/un",Garnier,Beleza e Higiene/Corpo/Protetores Solares e Bronzeadores/Bronzeadores e Autobronzeadores,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw199062fa/images/col/805/8056647-hero.jpg?sw=280&sh=280,emb. 150 ml + emb. 200 ml,https://www.continente.pt/produto/conjunto-ambre-solaire-rotina-bronze-oferta-saco-de-praia-garnier-8056647.html,higiene-beleza,2024-11-22,Continente
Coffret Maquilhagem Sou Versátil + Oferta Mini Pincel,7645799,20.13,"€20,13/un",Maybelline New York,Beleza e Higiene/Presentes em Beleza/Maquilhagem para Oferecer,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw349937bb/images/col/764/7645799-hero.jpg?sw=280&sh=280,emb. 1 un,https://www.continente.pt/produto/coffret-maquilhagem-sou-versatil-oferta-mini-pincel-maybelline-new-york-7645799.html,higiene-beleza,2024-11-22,Continente
Batom Vinyl Ink,324767,11.49,"€11,49/un",Maybelline New York,Beleza e Higiene/Maquilhagem/Lábios,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw62720cf4/images/col/765/7658234-frente.jpg?sw=280&sh=280,emb. 1 un,https://www.continente.pt/produto/batom-vinyl-ink-maybelline-new-york-324767.html,higiene-beleza,2024-11-22,Continente
Algodão Desmaquilhante Dia e Noite,foodhbdemakup,3.99,,,Beleza e Higiene/Rosto/Limpeza,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw7386ca93/images/col/foo/foodhbdemakup-frente.jpg?sw=280&sh=280,,https://www.continente.pt/produto/algodao-desmaquilhante-dia-e-noite-foodhbdemakup.html,higiene-beleza,2024-11-22,Continente
Creme de Dia Revitalift Filler FPS 50,7382344,18.19,"€363,80/lt",LOréal Paris,Beleza e Higiene/Rosto/Antirrugas e Refirmantes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw4bedefd8/images/col/738/7382344-frente-1.jpeg?sw=280&sh=280,emb. 50 ml,https://www.continente.pt/produto/creme-de-dia-revitalift-filler-fps-50-loreal-paris-7382344.html,higiene-beleza,2024-11-22,Continente
Conjunto Ambre Solaire Proteção Solar Peles Sensiveis + Oferta Bolsa,7794744,16.99,"€16,99/un",Garnier,Beleza e Higiene/Corpo/Protetores Solares e Bronzeadores/Protetores Solares Corpo,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwa9869640/images/col/779/7794744-hero.jpg?sw=280&sh=280,emb. 150 ml + 150 ml,https://www.continente.pt/produto/conjunto-ambre-solaire-protecao-solar-peles-sensiveis-oferta-bolsa-garnier-7794744.html,higiene-beleza,2024-11-22,Continente
Máscara Cabelo Repara e Protege,7415227,6.44,"€12,88/lt",Pantene,Beleza e Higiene/Cabelo/Máscaras e Tratamentos,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwec3595f1/images/col/741/7415227-frente.jpg?sw=280&sh=280,emb. 500 ml,https://www.continente.pt/produto/mascara-cabelo-repara-e-protege-pantene-7415227.html,higiene-beleza,2024-11-22,Continente
