,Weight_Value,Weight_Unit,Quantity,product_name,product_price,price_per_unit
0,,,4.0,rolo cozinha auchan resistente e absorvente compacto folha dupla 4 rolos = 8 rolos,1.95,
1,,,100.0,guardanapos actuel folha dupla 33x33cm 100 undidades,1.19,
2,,,100.0,guardanapos auchan essencial folha simples 30x30cm 100un,0.59,
3,,,4.0,rolo cozinha polegar folha dupla 4 rolos,1.85,
4,1000.0,ml,,gel auchan sanitário lixívia limão 1l,0.99,0.00099
5,,,15.0,saco lixo auchan lavanda fecho fácil 50 litros 15 unidades,1.89,
6,,,15.0,saco de lixo auchan lavanda fecho fácil 30l 100% reciclados 15un,0.89,
7,50.0,g,,bloco sanitário bref sonasol poderactivo havaii 2x50g,3.99,0.07980000000000001
8,,,15.0,saco de lixo auchan fecho fácil 50l 100% reciclados 15un,1.19,
9,,,200.0,guardanapos auchan essencial folha simples 30x30cm 200 unidades,1.1,
10,,,4.0,rolo cozinha auchan resistente e absorvente 2 folhas super compacto 1 rolo = 4 rolos,0.95,
11,4000.0,ml,,lixívia auchan tradicional 4l,1.35,0.0003375
12,,,,ambientador automóvel arbre magique morango,2.19,
13,,,,papel auchan alumínio resistente 20mt #,1.53,
14,1000.0,ml,,gel auchan sanitário lixívia pinho 1l,0.99,0.00099
15,,,,papel auchan vegetal antiaderente 16folhas,0.69,
16,750.0,ml,,limpa vidros auchan recarga 750ml,1.39,0.0018533333333333331
17,850.0,g,,pasta de limpeza pink stuff 850 gr,3.5,0.00411764705882353
18,,,15.0,saco lixo auchan limão fecho fácil 50l 15un,1.89,
19,1000.0,ml,,gel auchan sanitário lixívia eucalipto e menta 1l,0.99,0.00099
20,,,4.0,rolo renova cozinha absorption xxl 2=4un,1.99,
21,,,2.0,rolo renova cozinha extra xxl 2un,2.38,
22,,,200.0,guardanapos actuel folha dupla 33x33cm pack 200 unidades,2.35,
23,2000.0,ml,,lixívia auchan densa frescura do campo 2l,0.99,0.000495
24,4000.0,ml,,lixívia auchan perfumada com detergente 4l,1.59,0.0003975
25,,,70.0,guardanapos de folha simples tipo e renova branco 30x32cm 70 unidades,0.79,
26,500.0,ml,,spray limpa vidros recarga tripla ação ajax 500ml,2.99,0.00598
27,2000.0,ml,,lixívia auchan perfumada com detergente 2l,0.99,0.000495
28,,,10.0,luvas auchan latex tamanho médio 10un,0.79,
29,2000.0,ml,,lixívia auchan tradicional 2l,0.89,0.00044500000000000003
