,product_name,price,source
0,Cadeira de Refeição Branca,22.99,Continente
1,Box Fraldas Activity XXL 11-16kg T5,0.28,Continente
2,Papa Infantil Farinha Láctea +6M,6.66,Continente
3,Toalhitas Bebé Aqua Pure,1.57,Continente
4,Nestum Mel +3A,7.08,Continente
5,"Cama Tenda 223,2x105,5x129,7cm Lodge",299.0,Continente
6,Fraldas Sensitive 4-8kg T2,0.19,Continente
7,Leite em Pó de Transição Optipro 2 +6M sem Glúten,17.49,Continente
8,Conjunto de Rua Duo Cinza Tróia,199.0,Continente-
9,Fraldas Proteção e Conforto 9-15kg T4 Pack Poupança,0.15,Continente
10,Saqueta de Fruta Multifrutas +6M,10.89,Continente
11,Gel de Banho Kids Pera,10.98,Continente
12,Bebida Láctea Infantil 1-3A,1.79,Continente
13,Cadeira Auto I-Size 40-150cm Cinza Eder,149.0,Continente
14,Saqueta de Fruta Maçã e Pera Frutapura +6M,9.18,Continente
15,Fraldas Cueca Pants 12-17kg T5,0.21,Continente
16,Leite em Pó Júnior 4 +12M sem Glúten,12.35,Continente
17,Cama Tenda Madeira Montessori,229.0,Continente
18,Pó de Talco,5.45,Continente
19,Biberão Silicone,2.99,Continente
20,Cadeira Auto I-Size 40-150cm Preta Scout Eagle,139.0,Continente
21,Anel Banho,29.99,Continente
22,Bacio Pasha Cinza,9.09,Continente
23,Toalha Banho,29.99,Continente
24,Saco Dormir Savana,22.99,Continente
25,Saco Dormir com Pernas,64.99,Continente
26,Cadeira de Refeição Avista,89.99,Continente
27,Saco Dormir,24.99,Continente
28,Cadeira Refeição De Viagem  Asalvo,34.99,Continente
29,Toalhitas Bebé Biodegradáveis,3.99,Continente
30,Loção Naturally Sensitive Aloe Vera Pele Atópica,12.51,Continente
31,Cama de Grades Branco Naili,269.0,Continente
32,Conjunto 3 Colheres Termo Sensíveis +3M,7.99,Continente
33,Almofada Anti-alérgica 35x27cm Bigo,5.99,Continente
34,Roupeiro 2 Portas 83x185x52cm Girafa,449.0,Continente
35,Sacos para Conservação do Leite Materno,5.99,Continente
36,Quinta Interativa Bilingue,39.99,Continente
37,Baby Veículos Divertidos,12.99,Continente
38,Veículo Pressiona e Anda (vários modelos),9.99,Continente
39,Champô Ultra Suave Crianças Alperce,14.76,Continente
40,Pinguim Dorminhoco,12.99,Continente
41,Papa Infantil Farinha Láctea Cereais e Fruta +6M,3.98,Continente
42,Pack  Saquetas de Fruta Maçã e Pera +3A,8.0,Continente
