,weight,weight_unit,quantity,qty_unit,product_name
0,33.0,cl,1.0,un,Água Pingo Doce 33 cl
1,50.0,cl,1.0,un,Água Pingo Doce 50 cl
2,20.0,cl,6.0,un,Iced Tea Pêssego Pingo Doce 6×20 cl
3,25.0,cl,1.0,un,Água com Gás Pingo Doce 25 cl
4,20.0,cl,1.0,un,Néctar de 8 Frutos Pingo Doce 20 cl
5,20.0,cl,1.0,un,Sumo 100% Maçã Pingo Doce 20 cl
6,1500.0,L,1.0,un,"Água Pingo Doce 1,5 L"
7,20.0,cl,1.0,un,Sumo 100% Pera Rocha Pingo Doce 20 cl
8,33.0,cl,1.0,un,Refrigerante com Gás Cola Zero Lata Pingo Doce 33 cl
9,25.0,cl,1.0,un,Néctar Clássico de Pêssego Pingo Doce 25 cl
10,25.0,cl,1.0,un,Nectaríssimo de Pera Pingo Doce 25 cl
11,20.0,cl,1.0,un,Bebida de Frutas e Vitaminas Tropical Pingo Doce 20 cl
12,25.0,cl,1.0,un,Néctar Clássico de Tutti Frutti Pingo Doce 25 cl
13,20.0,cl,1.0,un,Bebida de Frutas e Vitaminas Pêssego Pingo Doce 20 cl
14,20.0,cl,1.0,un,Sumo 100% Laranja Pingo Doce 20 cl
15,25.0,cl,1.0,un,Néctar Clássico de Manga Pingo Doce 25 cl
16,25.0,cl,1.0,un,"Nectaríssimo de Ananás, Laranja e Coco Pingo Doce 25 cl"
17,25.0,cl,1.0,un,"Néctar Clássico de Maracujá, Maçã e Manga Pingo Doce 25 cl"
18,25.0,cl,1.0,un,Bebida Anti-ox com Frutos Vermelhos Pingo Doce 25 cl
19,33.0,cl,1.0,un,Refrigerante com Gás Cola Original Lata Pingo Doce 33 cl
20,25.0,cl,1.0,un,Água com Gás Limão Pingo Doce 25 cl
21,33.0,cl,1.0,un,Água Tónica Lata Pingo Doce 33 cl
22,1500.0,L,1.0,un,"Água Alcalina Ionizada Pingo Doce 1,5L"
23,33.0,cl,1.0,un,Iced Tea Manga Lata Pingo Doce 33 cl
24,33.0,cl,1.0,un,Refrigerante com Gás Lima-Limão Lata Pingo Doce 33 cl
25,33.0,cl,1.0,un,Iced Tea Pêssego Lata Pingo Doce 33 cl
26,33.0,cl,1.0,un,Iced Tea Limão Lata Pingo Doce 33 cl
27,,,500.0,ml,Refrigerante com Gás Cola Zero Pingo Doce 500 ml
28,25.0,cl,1.0,un,Vinho Branco Tetra Brick Pingo Doce 25 cl
29,25.0,cl,1.0,un,Vinho Tinto Tetra Brick Pingo Doce 25 cl
30,1500.0,L,1.0,un,"Gasosa Zero Pingo Doce 1,5L"
31,,,500.0,ml,Refrigerante com Gás Cola Original Pingo Doce 500 ml
32,33.0,cl,1.0,un,Sidra com Álcool Maçã Pingo Doce 33 cl
33,2000.0,L,1.0,un,Refrigerante com Gás Cola Zero Pingo Doce 2 L
34,50.0,cl,1.0,un,Iced Tea Pêssego Pingo Doce 50 cl
35,50.0,cl,1.0,un,Iced Tea Manga Pingo Doce 50 cl
36,6000.0,L,1.0,un,Água Pingo Doce 6 L
37,1000.0,L,1.0,un,Vinho Branco Tetra Brick Pingo Doce 1 L
38,1000.0,L,1.0,un,Vinho Tinto Tetra Brick Pingo Doce 1 L
39,2000.0,L,1.0,un,Iced Tea Manga Zero Açúcar Pingo Doce 2 L
40,2000.0,L,1.0,un,Iced Tea Pêssego Zero Açúcar Pingo Doce 2 L
41,25.0,cl,1.0,un,Sumo Natural de Laranja e Maçã Pingo Doce 25 cl
42,25.0,cl,1.0,un,Sumo Natural de Maçã Pingo Doce 25 cl
43,25.0,cl,1.0,un,Sumo Natural de Maçã e Cenoura Pingo Doce 25 cl
44,2000.0,L,1.0,un,Refrigerante com Gás Lima-Limão Pingo Doce 2 L
45,1500.0,L,1.0,un,"Refrigerante sem Gás de Laranja Pingo Doce 1,5 L"
46,1500.0,L,1.0,un,"Refrigerante com Gás Laranja Pingo Doce 1,5 L"
47,1000.0,L,1.0,un,Néctar Clássico de Romã e Uva Pingo Doce 1 L
48,25.0,cl,1.0,un,Smoothie Açaí Mix Pingo Doce 25 cl
49,25.0,cl,1.0,un,Super Smoothie com Manga e Goji Pingo Doce 25 cl
0,25.0,cl,1.0,un,Smoothie com Mirtilo e Romã Pingo Doce 25 cl
1,25.0,cl,1.0,un,Smoothie + Vitamina com Linhaça e Frutos Tropicais Pingo Doce 25 cl
2,125.0,ml,1.0,un,"Bebida Shot Botanic com Maçã, Infusão de Camomila e Lavanda e Espirulina Pingo Doce 125 ml"
3,125.0,ml,1.0,un,"Bebida Shot com Maçã, Romã, Baga de Sabugueiro e Limão Pingo Doce 125 ml"
4,125.0,ml,1.0,un,"Bebida Shot de Vitamina C com Maçã, Laranja, Gengibre e Inulina Pingo Doce 125 ml"
5,1.0,L,1.0,un,Néctar Clássico de Pêssego Pingo Doce 1L
6,1.5,L,1.0,un,"Refrigerante com Gás Ananás Pingo Doce 1,5 L"
7,1.5,L,1.0,un,"Refrigerante sem Gás de Ananás Pingo Doce 1,5 L"
8,1.5,L,1.0,un,"Sumo 100% Maçã Pingo Doce 1,5 L"
9,1.0,L,1.0,un,"Nectaríssimo de Maracujá, Maçã e Manga Pingo Doce 1 L"
10,1.0,L,1.0,un,Bebida Anti-ox com Frutos Vermelhos Pingo Doce 1 L
11,1.0,L,1.0,un,Nectaríssimo de Pêssego Light Pingo Doce 1 L
12,1.0,L,1.0,un,Nectaríssimo Tropical Light Pingo Doce 1 L
13,1.0,L,1.0,un,"Nectaríssimo de Ananás, Laranja e Coco Pingo Doce 1 L"
14,1.0,L,1.0,un,Néctar de 8 Frutos Pingo Doce 1 L
15,1.0,L,1.0,un,Néctar Clássico de Tutti Frutti Pingo Doce 1L
16,1.5,L,1.0,un,"Iced Tea Pêssego Pingo Doce 1,5 L"
17,1.5,L,1.0,un,"Iced Tea Limão Pingo Doce 1,5 L"
18,1.5,L,1.0,un,"Iced Tea Manga Pingo Doce 1,5 L"
19,1.0,L,1.0,un,Néctar Clássico de Manga Pingo Doce 1 L
20,20.0,cl,6.0,un,Iced Tea Limão Pingo Doce 6×20 cl
21,2.0,L,1.0,un,Iced Tea Manga Pingo Doce 2 L
22,2.0,L,1.0,un,Iced Tea Pêssego Pingo Doce 2 L
23,2.0,L,1.0,un,Iced Tea Limão Pingo Doce 2 L
24,33.0,cl,1.0,un,Smoothie 100% Fruta com Frutos Vermelhos Pingo Doce 33 cl
25,33.0,cl,1.0,un,Smoothie 100% Frutos Tropicais Pingo Doce 33 cl
26,33.0,cl,1.0,un,Sumo 100% Fruta Espremida Laranja Pingo Doce 33 cl
27,250.0,ml,1.0,un,Smoothie com  Chia e Maracujá Pingo Doce 250 ml
28,250.0,ml,1.0,un,Smoothie de Ananás e Physalis Pingo Doce 250 ml
29,75.0,cl,1.0,un,Limonada Clássica Pingo Doce 75 cl
30,2.0,L,1.0,un,Refrigerante com Gás Cola Original Pingo Doce 2 L
31,1.5,L,1.0,un,"Refrigerante sem Gás de Laranja e Maracujá Pingo Doce 1,5 L"
32,75.0,cl,1.0,un,Sumo 100% Fruta Espremida Maçã Pingo Doce 75 cl
33,1.5,L,1.0,un,"Sumo 100% Pera Rocha Pingo Doce 1,5 L"
34,1.5,L,1.0,un,"Tisana de Romã e Camomila Pingo Doce 1,5 L"
35,1.5,L,1.0,un,"Tisana de Limão e Chá Verde Pingo Doce 1,5 L"
36,75.0,cl,1.0,un,Sumo 100% Fruta Espremida Ananás Pingo Doce 75 cl
37,25.0,cl,1.0,un,"Sumo de Frutas e Vegetais Pepino, Aipo, Couve e Espinafres Pingo Doce 25 cl"
38,25.0,cl,1.0,un,"Sumo de Frutas e Vegetais Cenoura, Pera e Beterraba Pingo Doce 25 cl"
39,25.0,cl,1.0,un,Sumo de Frutas e Vegetais Cenoura e Gengibre Pingo Doce 25 cl
40,25.0,cl,1.0,un,"Sumo de Maçã, Limão e Hortelã Pingo Doce 25 cl"
41,75.0,cl,1.0,un,Limonada de Frutos Vermelhos Pingo Doce 75 cl
42,750.0,ml,1.0,un,Limonada com Maracujá Pingo Doce 750 ml
43,75.0,cl,1.0,un,Smoothie 100% Frutos Tropicais Pingo Doce 75 cl
44,75.0,cl,1.0,un,Smoothie 100% Fruta com Ananás e Coco Pingo Doce 75 cl
45,1.5,L,1.0,un,"Sangria Tinta Pingo Doce 1,5 L"
46,75.0,cl,1.0,un,"Sumo de Uva, Framboesa e Cereja Pingo Doce 75 cl"
47,75.0,cl,1.0,un,Sumo 100% Fruta Espremida Exótico Pingo Doce 75 cl
48,750.0,ml,1.0,un,Smoothie de Banana e Morango Pingo Doce 750 ml
0,1.5,L,1.0,un,"Sangria Branca Pingo Doce 1,5 L"
1,1.5,L,1.0,un,"Sumo 100% Tropical Pingo Doce 1,5 L"
2,37.0,cl,1.0,un,Kombucha Coco Pingo Doce 37cl
3,37.0,cl,1.0,un,Kombucha Framboesa Pingo Doce 37cl
4,1.0,L,1.0,un,Sumo 100% Fruta Espremida Laranja Pingo Doce 1 L
5,750.0,ml,1.0,un,"Sumo de Maçã, Coco, Uva e Spirulina Pingo Doce 750 ml"
6,250.0,ml,1.0,un,Smoothie de Abacate com Maçã Pingo Doce 250 ml
7,75.0,cl,1.0,un,Sumo Natural de Laranja e Maçã Pingo Doce 75 cl
8,75.0,cl,1.0,un,Sumo Natural de Maçã e Cenoura Pingo Doce 75 cl
9,75.0,cl,1.0,un,Sumo Natural de Maçã Pingo Doce 75 cl
10,750.0,ml,1.0,un,Piña Colada sem Álcool Pingo Doce 750 ml
11,750.0,ml,1.0,un,"Mojito de Limão, Lima e Maçã sem Álcool Pingo Doce 750 ml"
12,750.0,ml,1.0,un,Daiquiri de Morango e Limão Pingo Doce 750 ml
13,1.5,L,1.0,un,"Sumo 100% Laranja Pingo Doce 1,5 L"
14,1.0,L,1.0,un,Sumo 100% Fruta Espremida Tangerina Pingo Doce 1 L
15,25.0,cl,6.0,un,Panaché Pingo Doce 6×25 cl
16,75.0,cl,1.0,un,Vinho Tinto Alentejo Bag in Box Pingo Doce 75 cl
17,70.0,g,1.0,un,Rúcula Selvagem Pingo Doce 70 g
18,200.0,g,1.0,un,Caldo Verde Pingo Doce 200 g
19,300.0,g,1.0,un,Salada Iceberg Pingo Doce 300 g
20,125.0,g,1.0,un,Alface Frisada Pingo Doce 125 g
21,170.0,g,1.0,un,Espinafres Frescos Pingo Doce 170 g
22,200.0,g,1.0,un,Salada Premium Pingo Doce 200 g
23,150.0,g,1.0,un,Nabiças Pingo Doce 150 g
24,175.0,g,1.0,un,Salada Gourmet Pingo Doce 175 g
25,250.0,g,1.0,un,Salada Camponesa Pingo Doce 250 g
26,150.0,g,1.0,un,Agrião Pingo Doce 150 g
27,150.0,g,1.0,un,Salada Alentejana Pingo Doce 150 g
28,150.0,g,1.0,un,Salada Ibéria Pingo Doce 150 g
29,150.0,g,1.0,un,Salada Fresca Pingo Doce 150 g
